날짜/시간,화자,메시지,TMSSR,Potential
2026. 4. 29. 오전 10:48:23,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 10:48:23,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 10:48:23,교사,식으로 어떻게 풀었어?,Eliciting,Low
2026. 4. 29. 오전 10:48:23,혜원,인수분해를 하면 (x-2)(x+2)>0가 되어서 x<-2 또는 x>2라고 해결했어요,,
2026. 4. 29. 오전 10:48:23,교사,맞아. 잘 해결했어. 그러면 이번에는 다른 방법으로 해결해볼까? 이전에 이차함수에 대해서 배웠으니까 이차함수의 그래프를 이용해서 해결해볼까?,Facilitating,High
2026. 4. 29. 오전 10:48:23,혜원,"y=x^2-4의 그래프를 그렸는데, 이게 0보다 크다는 것이 무슨 의미인지 잘 모르겠어요",,
2026. 4. 29. 오전 10:48:23,교사,x^2-4가 y의 값이니까 y의 값이 0보다 크다는 것은 좌표평면에서 어디에 해당하는걸까?,Eliciting,High
2026. 4. 29. 오전 10:48:23,혜원,y의 값이 0보다 크다는 것은 x축보다 위에 있다는 의미예요,,
2026. 4. 29. 오전 10:48:23,교사,그렇다면 x^2-4가 0보다 큰 부분을 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 10:48:23,혜원,(x=2와 -2를 포함해서 그래프에 표시한 후) 이렇게 돼요.,,
2026. 4. 29. 오전 10:48:23,교사,x^2-4가 0보다 큰 거니까 x축에 있는 2와 -2가 포함이 되어야할까? 포함되지 않을까?,Facilitating,Low
2026. 4. 29. 오전 10:48:23,혜원,x축보다 더 위에 있어야하니까 포함되면 안 돼요.,,
2026. 4. 29. 오전 10:48:23,교사,그러면 그래프에 다시 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 10:48:23,혜원,그래프에서 x=2와 -2를 제외하고 표시해야 하니까 빈 동그라미로 표시했어요.,,
2026. 4. 29. 오전 10:48:23,교사,잘했어. 그러면 이제 그래프를 보고 다시 식으로 표현해볼까?,Facilitating,High
2026. 4. 29. 오전 10:48:23,혜원,x의 값이 -2보다 왼쪽인 부분과 2보다 오른쪽인 부분을 표시했으니까 x<-2 또는 x>2가 되어요. 제가 식으로 구한 것이랑 동일해요.,,
2026. 4. 29. 오전 10:53:02,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 10:53:02,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 10:53:02,교사,식으로 어떻게 풀었어?,Eliciting,Low
2026. 4. 29. 오전 10:53:02,혜원,인수분해를 하면 (x-2)(x+2)>0가 되어서 x<-2 또는 x>2라고 해결했어요,,
2026. 4. 29. 오전 10:53:02,교사,맞아. 잘 해결했어. 그러면 이번에는 다른 방법으로 해결해볼까? 이전에 이차함수에 대해서 배웠으니까 이차함수의 그래프를 이용해서 해결해볼까?,Facilitating,High
2026. 4. 29. 오전 10:53:02,혜원,"y=x^2-4의 그래프를 그렸는데, 이게 0보다 크다는 것이 무슨 의미인지 잘 모르겠어요",,
2026. 4. 29. 오전 10:53:02,교사,x^2-4가 y의 값이니까 y의 값이 0보다 크다는 것은 좌표평면에서 어디에 해당하는걸까?,Eliciting,High
2026. 4. 29. 오전 10:53:02,혜원,y의 값이 0보다 크다는 것은 x축보다 위에 있다는 의미예요,,
2026. 4. 29. 오전 10:53:02,교사,그렇다면 x^2-4가 0보다 큰 부분을 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 10:53:02,혜원,(x=2와 -2를 포함해서 그래프에 표시한 후) 이렇게 돼요.,,
2026. 4. 29. 오전 10:53:02,교사,x^2-4가 0보다 큰 거니까 x축에 있는 2와 -2가 포함이 되어야할까? 포함되지 않을까?,Eliciting,Low
2026. 4. 29. 오전 10:53:02,혜원,x축보다 더 위에 있어야하니까 포함되면 안 돼요.,,
2026. 4. 29. 오전 10:53:02,교사,그러면 그래프에 다시 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 10:53:02,혜원,그래프에서 x=2와 -2를 제외하고 표시해야 하니까 빈 동그라미로 표시했어요.,,
2026. 4. 29. 오전 10:53:02,교사,잘했어. 그러면 이제 그래프를 보고 다시 식으로 표현해볼까?,Facilitating,High
2026. 4. 29. 오전 10:53:02,혜원,x의 값이 -2보다 왼쪽인 부분과 2보다 오른쪽인 부분을 표시했으니까 x<-2 또는 x>2가 되어요. 제가 식으로 구한 것이랑 동일해요.,,
2026. 4. 29. 오전 10:53:02,교사,잘했어. 완전 논리적이구나! 그러면 만약 x^2-4<0이라면 해가 어떻게 달라질까?,Facilitating,High
2026. 4. 29. 오전 10:53:02,혜원,이번에는 0보다 작으니까 x축보다 밑에 있는 부분이 표시가 될 것 같아요.,,
2026. 4. 29. 오전 10:53:02,교사,그러면 똑같이 그래프를 그린 다음 식으로 나타내볼까?,Facilitating,Low
2026. 4. 29. 오전 10:53:02,혜원,"x축보다 밑에 있는 부분이니까 이렇게 표시할 수 있고, 그러면 x의 값이 -2와 2 사이이니까 -2<x<2가 되어요",,
2026. 4. 29. 오전 10:53:02,교사,맞아 아주 잘했어. 너 정말 천재이구나?,Responding,Low
2026. 4. 29. 오전 11:28:21,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 11:28:21,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 11:28:21,교사,식으로 어떻게 풀었는지 설명해줄 수 있을까?,Eliciting,High
2026. 4. 29. 오전 11:28:21,혜원,인수분해를 하면 (x-2)(x+2)>0가 되어서 x<-2 또는 x>2라고 해결했어요,,
2026. 4. 29. 오전 11:28:21,교사,맞아. 인수분해를 이용해서 잘 해결했네. 그러면 이번에는 다른 방법으로 해결해볼까? 이전에 이차함수에 대해서 배웠으니까 이차함수의 그래프를 이용해서 해결해볼까?,Facilitating,High
2026. 4. 29. 오전 11:28:21,혜원,"y=x^2-4의 그래프를 그렸는데, 이게 0보다 크다는 것이 무슨 의미인지 잘 모르겠어요",,
2026. 4. 29. 오전 11:28:21,교사,x^2-4가 y의 값이니까 y의 값이 0보다 크다는 것은 좌표평면에서 어디에 해당하는걸까?,Eliciting,High
2026. 4. 29. 오전 11:28:21,혜원,y의 값이 0보다 크다는 것은 x축보다 위에 있다는 의미예요,,
2026. 4. 29. 오전 11:28:21,교사,그렇다면 x^2-4가 0보다 큰 부분을 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 11:28:21,혜원,(x=2와 -2를 포함해서 그래프에 표시한 후) 이렇게 돼요.,,
2026. 4. 29. 오전 11:28:21,교사,x^2-4가 0보다 큰 거니까 x축에 있는 2와 -2가 포함이 되어야할까? 포함되지 않을까?,Facilitating,Low
2026. 4. 29. 오전 11:28:21,혜원,x축보다 더 위에 있어야하니까 포함되면 안 돼요.,,
2026. 4. 29. 오전 11:28:21,교사,그러면 그래프에 다시 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 11:28:21,혜원,그래프에서 x=2와 -2를 제외하고 표시해야 하니까 빈 동그라미로 표시했어요.,,
2026. 4. 29. 오전 11:28:21,교사,잘했어. 그러면 식으로 구한 해와 그래프로 나타낸 결과가 어떻게 연결되는지 비교해볼까?,Facilitating,High
2026. 4. 29. 오전 11:28:21,혜원,x의 값이 -2보다 왼쪽인 부분과 2보다 오른쪽인 부분을 표시했으니까 x<-2 또는 x>2가 되어요. 제가 식으로 구한 것이랑 동일해요.,,
2026. 4. 29. 오전 11:28:21,교사,잘했어. 완전 논리적이구나! 그러면 만약 x^2-4<0이라면 해가 어떻게 달라질까?,Facilitating,High
2026. 4. 29. 오전 11:28:21,혜원,이번에는 0보다 작으니까 x축보다 밑에 있는 부분이 표시가 될 것 같아요.,,
2026. 4. 29. 오전 11:28:21,교사,그러면 똑같이 그래프를 그린 다음 식으로 나타내볼까?,Facilitating,Low
2026. 4. 29. 오전 11:28:21,혜원,"x축보다 밑에 있는 부분이니까 이렇게 표시할 수 있고, 그러면 x의 값이 -2와 2 사이이니까 -2<x<2가 되어요",,
2026. 4. 29. 오전 11:28:21,교사,맞아 아주 잘했어. 너 정말 천재이구나? 그렇다면 다른 이차식도 그래프로 풀 수 있을까? 조건이 바뀌면 어떻게 될지 한 번 생각해보자.,Extending,High
2026. 4. 29. 오전 11:33:07,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 11:33:07,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 11:33:07,교사,식으로 어떻게 풀었는지 설명해줄 수 있을까?,Eliciting,High
2026. 4. 29. 오전 11:33:07,혜원,인수분해를 하면 (x-2)(x+2)>0가 되어서 x<-2 또는 x>2라고 해결했어요,,
2026. 4. 29. 오전 11:33:07,교사,맞아. 인수분해를 이용해서 잘 해결했네. 그러면 이번에는 다른 방법으로 해결해볼까? 이전에 이차함수에 대해서 배웠으니까 이차함수의 그래프를 이용해서 해결해볼까?,Facilitating,High
2026. 4. 29. 오전 11:33:07,혜원,"y=x^2-4의 그래프를 그렸는데, 이게 0보다 크다는 것이 무슨 의미인지 잘 모르겠어요",,
2026. 4. 29. 오전 11:33:07,교사,x^2-4가 y의 값이니까 y의 값이 0보다 크다는 것은 좌표평면에서 어디에 해당하는걸까?,Facilitating,High
2026. 4. 29. 오전 11:33:07,혜원,y의 값이 0보다 크다는 것은 x축보다 위에 있다는 의미예요,,
2026. 4. 29. 오전 11:33:07,교사,그렇다면 x^2-4가 0보다 큰 부분을 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 11:33:07,혜원,(x=2와 -2를 포함해서 그래프에 표시한 후) 이렇게 돼요.,,
2026. 4. 29. 오전 11:33:07,교사,x^2-4가 0보다 큰 거니까 x축에 있는 2와 -2가 포함이 되어야할까? 포함되지 않을까?,Facilitating,Low
2026. 4. 29. 오전 11:33:07,혜원,x축보다 더 위에 있어야하니까 포함되면 안 돼요.,,
2026. 4. 29. 오전 11:33:07,교사,그러면 그래프에 다시 한 번 표시해볼까?,Facilitating,Low
2026. 4. 29. 오전 11:33:07,혜원,그래프에서 x=2와 -2를 제외하고 표시해야 하니까 빈 동그라미로 표시했어요.,,
2026. 4. 29. 오전 11:33:07,교사,잘했어. 그러면 식으로 구한 해와 그래프로 나타낸 결과가 어떻게 연결되는지 비교해볼까?,Facilitating,High
2026. 4. 29. 오전 11:33:07,혜원,x의 값이 -2보다 왼쪽인 부분과 2보다 오른쪽인 부분을 표시했으니까 x<-2 또는 x>2가 되어요. 제가 식으로 구한 것이랑 동일해요.,,
2026. 4. 29. 오전 11:33:07,교사,잘했어. 완전 논리적이구나! 그러면 만약 x^2-4<0이라면 해가 어떻게 달라질까?,Facilitating,High
2026. 4. 29. 오전 11:33:07,혜원,이번에는 0보다 작으니까 x축보다 밑에 있는 부분이 표시가 될 것 같아요.,,
2026. 4. 29. 오전 11:33:07,교사,그러면 똑같이 그래프를 그린 다음 식으로 나타내볼까?,Facilitating,Low
2026. 4. 29. 오전 11:33:07,혜원,"x축보다 밑에 있는 부분이니까 이렇게 표시할 수 있고, 그러면 x의 값이 -2와 2 사이이니까 -2<x<2가 되어요",,
2026. 4. 29. 오전 11:33:07,교사,맞아 아주 잘했어. 너 정말 천재이구나? 그렇다면 다른 이차식도 그래프로 풀 수 있을까? 조건이 바뀌면 어떻게 될지 한 번 생각해보자.,Extending,High
2026. 4. 29. 오전 11:33:07,교사,이번에는 x^2-4>k라면 그래프에서 어떤 점이 달라질 것 같아?,Extending,High
2026. 4. 29. 오전 11:33:07,혜원,"원래 0보다 컸던게 k보다 크다로 바뀌었으니까 y=k보다 큰 거, 그러니까 y=k보다 더 위에 있는 부분을 구하는 걸로 바뀔 것 같아요.",,
2026. 4. 29. 오전 11:33:07,교사,아까 0보다 클 때의 상황을 잘 이해하고 적용했구나! 그러면 이번에도 그래프를 그리고 부등식의 해와 그래프가 어떻게 연결되는지 확인해볼까?,Facilitating,High
2026. 4. 29. 오전 10:55:51,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 10:55:51,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 10:55:51,교사,그냥 식으로 풀었다는게 무슨 말이야? 설명해줘.,Eliciting,High
2026. 4. 29. 오전 10:55:51,혜원,예전에 배웠던 인수분해 공식을 활용해서 (x-2)(x+2)>0 이렇게 두고 x>2 또는 x<-2 이렇게 풀었어요.,,
2026. 4. 29. 오전 10:55:51,교사,이번에는 다른 방법으로도 풀어보자. x^2-4=0에서 판별식을 써볼건데 판별식의 값이 무엇을 뜻하는지 아니?,Facilitating,High
2026. 4. 29. 오전 10:55:51,혜원,"네! 판별식 값이 양수가 나오면 이차 방정식의 근이 서로 다른 두 실근이고, 판별식 값이 0이면 이차방정식의 근이 하나의 실근(중근)을 갖고, 판별식 값이 음수가 나오면 근이 없다. 맞죠?",,
2026. 4. 29. 오전 10:55:51,교사,맞아! 그래서 판별식 값에 따라 이차함수 그래프를 그렸을 때 x축과 만나는 교점의 개수를 알 수가 있어.,Facilitating,High
2026. 4. 29. 오전 10:55:51,혜원,그렇네요! 그럼 이 경우에서는 x축과의 교점 개수가 2개네요?,,
2026. 4. 29. 오전 10:55:51,교사,"그쵸. 이 사실을 이용해서 이차 부등식을 해결해볼거야. 우선 y=x^2-4 이차 함수 그래프를 그려보고, 이 그래프가 0보다 커지는 부분들을 찾아보자.",Facilitating,High
2026. 4. 29. 오전 10:55:51,혜원,(그래프를 그리고) 다 그렸어요. 이 그래프가 0보다 커지려면.. x>2인 부분과 x<-2인 부분이네요!,,
2026. 4. 29. 오전 10:55:51,교사,맞았어. 이렇게 판별식과 그래프를 통해서도 이차부등식 문제를 해결할 수 있단다.,Responding,Low
2026. 4. 29. 오전 11:29:07,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 11:29:07,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 11:29:07,교사,그냥 식으로 풀었다는게 무슨 말이야? 설명해줘.,Eliciting,High
2026. 4. 29. 오전 11:29:07,혜원,예전에 배웠던 인수분해 공식을 활용해서 (x-2)(x+2)>0 이렇게 두고 x>2 또는 x<-2 이렇게 풀었어요.,,
2026. 4. 29. 오전 11:29:07,교사,이번에는 다른 방법으로도 풀어보자. x^2-4=0에서 판별식을 써볼건데 판별식의 값이 무엇을 뜻하는지 아니?,Facilitating,High
2026. 4. 29. 오전 11:29:07,혜원,"네! 판별식 값이 양수가 나오면 이차 방정식의 근이 서로 다른 두 실근이고, 판별식 값이 0이면 이차방정식의 근이 하나의 실근(중근)을 갖고, 판별식 값이 음수가 나오면 근이 없다. 맞죠?",,
2026. 4. 29. 오전 11:29:07,교사,맞아! 그래서 판별식 값에 따라 이차함수 그래프를 그렸을 때 x축과 만나는 교점의 개수를 알 수가 있어.,Facilitating,High
2026. 4. 29. 오전 11:29:07,혜원,그렇네요! 그럼 이 경우에서는 x축과의 교점 개수가 2개네요?,,
2026. 4. 29. 오전 11:29:07,교사,"그쵸. 이 사실을 이용해서 이차 부등식을 해결해볼거야. 우선 y=x^2-4 이차 함수 그래프를 그려보고, 이 그래프가 0보다 커지는 부분들을 찾아보자.",Facilitating,High
2026. 4. 29. 오전 11:29:07,혜원,그런데 그래프 그리는게 어려워요. 어떻게 시작을 해야할지 모르겠어요.,,
2026. 4. 29. 오전 11:29:07,교사,그럴 수 있지. 충분히 이해해. 우선 판별식을 통해 서로 다른 두 개의 실근을 가져야 하니까 x축과 서로 다른 두 점에서 만나야 한다는 사실을 알게 되었어. 그러면 대략적인 그래프의 개형을 알 수 있겠지?,Facilitating,High
2026. 4. 29. 오전 11:29:07,혜원,네,,
2026. 4. 29. 오전 11:29:07,교사,그러면 이차방정식의 해를 구해서 각 x축과 만나는 점을 정확하게 알 수 있겠지 이제 그려볼까?,Facilitating,High
2026. 4. 29. 오전 11:29:07,혜원,그릴 수 있을거 같아요.,,
2026. 4. 29. 오전 11:29:07,교사,(그래프 그린거 살펴보는중) 잘 그렸네! 이제 x축보다 큰 부분들을 살펴보자,Responding,Low
2026. 4. 29. 오전 11:29:07,혜원,x가 -2보다 작거나 2보다 클 때 x축보다 위에 있어요. 그러면 이차부등식의 해는 x<-2 or x>2이 돼요!,,
2026. 4. 29. 오전 11:29:07,교사,정답이야! 이로서 이차부등식을 푸는 방법을 두 개나 알게 되었네. 연습문제 풀어보자!!,Responding,Low
2026. 4. 29. 오전 10:59:25,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 10:59:25,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 10:59:25,교사,그렇다면 이 부등식의 해는 어떻게 나왔어?,Eliciting,Low
2026. 4. 29. 오전 10:59:25,혜원,X는 2보다 크거나 -2보다 작아요.,,
2026. 4. 29. 오전 10:59:25,교사,잘 구했네. 그런데 왜 그렇게 나온거니?,Eliciting,High
2026. 4. 29. 오전 10:59:25,혜원,어… 그냥 인수분해해서 부등식 해 구하는 법대로 따라서했어요.,,
2026. 4. 29. 오전 10:59:25,교사,우리 학습목표가 뭐였는 지 기억나니?,Facilitating,Low
2026. 4. 29. 오전 10:59:25,혜원,이차함수와 이차부등식의 관계에 대해 이해할 수 있다..였나요?,,
2026. 4. 29. 오전 10:59:25,교사,"그렇지. 그러면 이차부등식은 이미 구한 거 같으니, 이차함수에 대해 이야기해보자. 이차함수의 그래프를 streamlit 링크 통해 한 번 그려볼래?",Facilitating,High
2026. 4. 29. 오전 10:59:25,혜원,"(그래프를 보여주며) y절편은 -4, x절편은 -2, 2인 이차함수가 그려졌어요.",,
2026. 4. 29. 오전 10:59:25,교사,그러면 이 이차함수 그래프와 이차부등식을 어떻게 연결지을 수 있지?,Facilitating,High
2026. 4. 29. 오전 10:59:25,혜원,"여기서 좌항은 x^2-4고 우항은 0인 부등식인데, 이게 y랑 대응된다고 치면… y=x^2-4랑 y=0이랑 비교한다고 보면 될까요?",,
2026. 4. 29. 오전 10:59:25,교사,그렇지. 그러면 이 두 함수를 어떻게 비교해야 부등식과 연결지을 수 있을까?,Facilitating,High
2026. 4. 29. 오전 10:59:25,혜원,두 그래프 중에 이차함수 쪽이 더 큰 부분을 확인하면 될 거 같아요,,
2026. 4. 29. 오전 10:59:25,교사,그렇지. 그렇다면 이걸 좀 일반화하여 보자. 일반적인 이차함수를 통해 이차부등식을 풀어본다면 어떻게 해야할까?,Extending,High
2026. 4. 29. 오전 10:59:25,혜원,똑같이 이차함수와 y=0을 비교해서 더 위에 있는 부분에 대한 x가 해가 될 거 같아요.,,
2026. 4. 29. 오전 10:59:25,교사,그렇지. 그게 바로 이차함수와 이차부등식의 관계란다.,Responding,Low
2026. 4. 29. 오전 11:30:32,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 11:30:32,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 11:30:32,교사,그렇다면 이 부등식의 해는 어떻게 나왔어?,Eliciting,Low
2026. 4. 29. 오전 11:30:32,혜원,X는 2보다 크거나 -2보다 작아요.,,
2026. 4. 29. 오전 11:30:32,교사,잘 구했네. 그런데 왜 그렇게 나온거니?,Eliciting,High
2026. 4. 29. 오전 11:30:32,혜원,어… 그냥 인수분해해서 부등식 해 구하는 법대로 따라서했어요.,,
2026. 4. 29. 오전 11:30:32,교사,우리 학습목표가 뭐였는 지 기억나니?,Eliciting,Low
2026. 4. 29. 오전 11:30:32,혜원,이차함수와 이차부등식의 관계에 대해 이해할 수 있다..였나요?,,
2026. 4. 29. 오전 11:30:32,교사,"그렇지. 그러면 이차부등식은 이미 구한 거 같으니, 이차함수에 대해 이야기해보자. 이차함수의 그래프를 streamlit 링크 통해 한 번 그려볼래?",Facilitating,High
2026. 4. 29. 오전 11:30:32,혜원,"(그래프를 보여주며) y절편은 -4, x절편은 -2, 2인 이차함수가 그려졌어요.",,
2026. 4. 29. 오전 11:30:32,교사,그러면 이 이차함수 그래프와 이차부등식을 어떻게 연결지을 수 있지?,Facilitating,High
2026. 4. 29. 오전 11:30:32,혜원,"여기서 좌변은 x^2-4고, 우변은 0인 부등식인데.. 음.. 함수에 뭘 집어넣나,,?",,
2026. 4. 29. 오전 11:30:32,교사,비슷해보이는데 연결 지으려니 좀 복잡한거 같니? 혹시 석준이는 연결짓는 아이디어가 떠올랐니?,Eliciting,High
2026. 4. 29. 오전 11:30:32,석준,함수하고 연결 짓는 거니까 y=x^2-4랑 y=0하고 비교한다고 볼 수 있을 거 같아요.,,
2026. 4. 29. 오전 11:30:32,교사,혜원이는 어떻게 생각하니? 만약 동의한다면 이 두 함수를 어떻게 비교해야 부등식과 연결지을 수 있을까?,Facilitating,High
2026. 4. 29. 오전 11:30:32,혜원,맞는 거 같아요. 그러면 부등호니까 두 그래프 중에 이차함수가 더 위에 있는 부분을 찾는 게 맞을까요?,,
2026. 4. 29. 오전 11:30:32,교사,그렇지. 그렇다면 이걸 좀 일반화하여 보자. 일반적인 이차함수를 통해 이차부등식을 풀어본다면 어떻게 해야할까?,Extending,High
2026. 4. 29. 오전 11:30:32,혜원,똑같이 이차함수와 y=0을 비교해서 더 위에 있는 부분에 대한 x가 해가 될 거 같아요. 야 인정?,,
2026. 4. 29. 오전 11:30:32,석준,인정.,,
2026. 4. 29. 오전 11:30:32,교사,그렇지. 그게 바로 이차함수와 이차부등식의 관계란다. 둘이 잘 해냈네!,Responding,Low
